[I 2024-11-06 00:51:31,558] Using an existing study with name 'reproduct_sample08' instead of creating a new one.
[I 2024-11-06 00:55:17,353] Trial 1 finished with value: 0.31668130427455077 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.00879312217178974, 'nodeNum_02': 200, 'leaking_rate_02': 0.01652254752174597, 'nodeNum_03': 600, 'leaking_rate_03': 0.0888168221781431, 'nodeNum_04': 500, 'leaking_rate_04': 0.012508566199004752, 'tikhonov_beta': 0.0011150693670315978, 'intensity': 0.5382044112356081}. Best is trial 0 with value: 0.2936676791301191.
[I 2024-11-06 01:01:27,170] Trial 21 finished with value: 0.4084055938443142 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.022324336477208166, 'nodeNum_02': 450, 'leaking_rate_02': 0.02766436120217032, 'nodeNum_03': 550, 'leaking_rate_03': 0.0016007844917765024, 'nodeNum_04': 400, 'leaking_rate_04': 0.0012193482165703384, 'tikhonov_beta': 0.001474665490878213, 'intensity': 1.6226729996158014}. Best is trial 4 with value: 0.24990214266131328.
[I 2024-11-06 01:07:21,233] Trial 44 finished with value: 0.25742898182771357 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.0021095855889983082, 'nodeNum_02': 400, 'leaking_rate_02': 0.05742592502259884, 'nodeNum_03': 300, 'leaking_rate_03': 0.026000526519219188, 'nodeNum_04': 250, 'leaking_rate_04': 0.006906864445549324, 'tikhonov_beta': 1.226445618812361e-07, 'intensity': 0.6229069590066271}. Best is trial 45 with value: 0.23625421486015064.
[I 2024-11-06 01:13:32,073] Trial 65 finished with value: 0.2594165021356456 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.017332338714635243, 'nodeNum_02': 550, 'leaking_rate_02': 0.016072012895769944, 'nodeNum_03': 400, 'leaking_rate_03': 0.011371950846468604, 'nodeNum_04': 350, 'leaking_rate_04': 0.04975701002503211, 'tikhonov_beta': 4.1045353594638884e-07, 'intensity': 0.3168531387791211}. Best is trial 51 with value: 0.2319129467406371.
[I 2024-11-06 01:19:39,214] Trial 86 finished with value: 0.25875543659039246 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.012084812933139255, 'nodeNum_02': 450, 'leaking_rate_02': 0.004668285313584487, 'nodeNum_03': 300, 'leaking_rate_03': 0.06826493177415971, 'nodeNum_04': 300, 'leaking_rate_04': 0.07742688674241759, 'tikhonov_beta': 1.269565019637969e-05, 'intensity': 1.7200948230161852}. Best is trial 51 with value: 0.2319129467406371.
[I 2024-11-06 01:25:44,731] Trial 107 finished with value: 0.23805392198106357 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.002521263953790386, 'nodeNum_02': 350, 'leaking_rate_02': 0.06529307429942409, 'nodeNum_03': 250, 'leaking_rate_03': 0.07431395118492559, 'nodeNum_04': 400, 'leaking_rate_04': 0.07200950373228474, 'tikhonov_beta': 1.039302312286651e-07, 'intensity': 1.936294213368521}. Best is trial 110 with value: 0.2252776530975354.
[I 2024-11-06 01:31:53,273] Trial 130 finished with value: 0.23272336029710025 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.023824492624666804, 'nodeNum_02': 300, 'leaking_rate_02': 0.09321341264193118, 'nodeNum_03': 200, 'leaking_rate_03': 0.08287967677308442, 'nodeNum_04': 450, 'leaking_rate_04': 0.06512459146704903, 'tikhonov_beta': 2.002220767944155e-07, 'intensity': 1.9561023828324384}. Best is trial 110 with value: 0.2252776530975354.
[I 2024-11-06 01:37:56,510] Trial 150 finished with value: 0.22793712624169615 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.006604633628549214, 'nodeNum_02': 250, 'leaking_rate_02': 0.07945128268095272, 'nodeNum_03': 150, 'leaking_rate_03': 0.08574912483589055, 'nodeNum_04': 500, 'leaking_rate_04': 0.08679875541516174, 'tikhonov_beta': 1.5394107326177846e-07, 'intensity': 1.9066364749828437}. Best is trial 110 with value: 0.2252776530975354.
[I 2024-11-06 01:43:56,158] Trial 175 finished with value: 0.22865010028754593 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.005091525514847815, 'nodeNum_02': 250, 'leaking_rate_02': 0.06705131050686482, 'nodeNum_03': 150, 'leaking_rate_03': 0.08323856000789492, 'nodeNum_04': 500, 'leaking_rate_04': 0.09802703082399182, 'tikhonov_beta': 1.2178141836658186e-07, 'intensity': 1.877457781835877}. Best is trial 110 with value: 0.2252776530975354.
[I 2024-11-06 01:50:00,399] Trial 197 finished with value: 0.22979349541096725 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.005191933451961659, 'nodeNum_02': 150, 'leaking_rate_02': 0.06205371365846753, 'nodeNum_03': 200, 'leaking_rate_03': 0.06699550358843886, 'nodeNum_04': 550, 'leaking_rate_04': 0.0951140455985737, 'tikhonov_beta': 1.0854448627830683e-07, 'intensity': 1.967542497275361}. Best is trial 189 with value: 0.22196394849377712.
[I 2024-11-06 01:56:11,252] Trial 219 finished with value: 0.24001105542476903 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.0045066847080431046, 'nodeNum_02': 150, 'leaking_rate_02': 0.044639483979858945, 'nodeNum_03': 200, 'leaking_rate_03': 0.07403805611393796, 'nodeNum_04': 550, 'leaking_rate_04': 0.09825052282894281, 'tikhonov_beta': 1.2335379444950985e-07, 'intensity': 1.9993313402651565}. Best is trial 189 with value: 0.22196394849377712.
[I 2024-11-06 02:02:16,635] Trial 241 finished with value: 0.23431707493189277 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.007259247620617584, 'nodeNum_02': 150, 'leaking_rate_02': 0.041791518247607996, 'nodeNum_03': 200, 'leaking_rate_03': 0.0017400501470969717, 'nodeNum_04': 600, 'leaking_rate_04': 0.08165573543627118, 'tikhonov_beta': 1.48607248134978e-07, 'intensity': 1.9227673533128762}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:08:14,483] Trial 262 finished with value: 0.22543776380522543 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.003362349476948128, 'nodeNum_02': 150, 'leaking_rate_02': 0.020004471365685138, 'nodeNum_03': 200, 'leaking_rate_03': 0.05990657465821785, 'nodeNum_04': 600, 'leaking_rate_04': 0.08915388917501967, 'tikhonov_beta': 2.403077427396799e-07, 'intensity': 1.8106717460287582}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:14:26,211] Trial 284 finished with value: 0.22765899237287313 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.0030295318179107142, 'nodeNum_02': 200, 'leaking_rate_02': 0.030318151192412744, 'nodeNum_03': 200, 'leaking_rate_03': 0.05378258724562512, 'nodeNum_04': 600, 'leaking_rate_04': 0.09050852993346664, 'tikhonov_beta': 1.8247986516582196e-07, 'intensity': 1.7611146394425168}. Best is trial 223 with value: 0.2204076541705011.
[I 2024-11-06 02:20:41,937] Trial 305 finished with value: 0.357395401780617 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.002803853170139431, 'nodeNum_02': 200, 'leaking_rate_02': 0.024910914294960805, 'nodeNum_03': 200, 'leaking_rate_03': 0.06970698556752904, 'nodeNum_04': 600, 'leaking_rate_04': 0.07423763881124897, 'tikhonov_beta': 0.0036846919506111566, 'intensity': 1.8724562553105544}. Best is trial 223 with value: 0.2204076541705011.
