[I 2024-11-07 18:51:28,895] Using an existing study with name 'reproduct_sample09' instead of creating a new one.
[I 2024-11-07 18:54:53,021] Trial 2 finished with value: 6.280674571613219 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.09962993189311359, 'nodeNum_02': 150, 'leaking_rate_02': 0.2801466389449524, 'nodeNum_03': 200, 'leaking_rate_03': 0.005706154522182657, 'nodeNum_04': 300, 'leaking_rate_04': 0.011130173643204172, 'tikhonov_beta': 3.4294245976148195e-09, 'intensity': 1.5806844610582855}. Best is trial 1 with value: 0.2525442193697721.
[I 2024-11-07 19:00:23,126] Trial 22 finished with value: 0.2562601262758492 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.022662323849460986, 'nodeNum_02': 150, 'leaking_rate_02': 0.0027858924981165414, 'nodeNum_03': 500, 'leaking_rate_03': 0.08256550029584149, 'nodeNum_04': 450, 'leaking_rate_04': 0.08834184352266589, 'tikhonov_beta': 7.5070010232102415e-06, 'intensity': 1.1567665608584043}. Best is trial 8 with value: 0.2253558518694178.
[I 2024-11-07 19:06:48,372] Trial 42 finished with value: 0.2257437129785845 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.01251342268102753, 'nodeNum_02': 300, 'leaking_rate_02': 0.08265786714316677, 'nodeNum_03': 600, 'leaking_rate_03': 0.019653701408797793, 'nodeNum_04': 550, 'leaking_rate_04': 0.22464117223887733, 'tikhonov_beta': 6.379786500615475e-07, 'intensity': 2.539908768809571}. Best is trial 25 with value: 0.22288089504396397.
[I 2024-11-07 19:12:42,835] Trial 63 finished with value: 0.23708008245190262 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.0013838183218600408, 'nodeNum_02': 600, 'leaking_rate_02': 0.3626820580831703, 'nodeNum_03': 300, 'leaking_rate_03': 0.01971704114545385, 'nodeNum_04': 200, 'leaking_rate_04': 0.4442363738671336, 'tikhonov_beta': 2.841955259837847e-07, 'intensity': 4.023135596384034}. Best is trial 57 with value: 0.2179151496612292.
[I 2024-11-07 19:18:09,228] Trial 84 finished with value: 0.22603909987978163 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.0036702849676293376, 'nodeNum_02': 400, 'leaking_rate_02': 0.12241462045578808, 'nodeNum_03': 350, 'leaking_rate_03': 0.043084527375558526, 'nodeNum_04': 150, 'leaking_rate_04': 0.14997701016182136, 'tikhonov_beta': 1.0502111241611746e-07, 'intensity': 4.608795512348406}. Best is trial 57 with value: 0.2179151496612292.
[I 2024-11-07 19:23:38,900] Trial 104 finished with value: 0.2216390083277897 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.006300313583527459, 'nodeNum_02': 150, 'leaking_rate_02': 0.025028196175185636, 'nodeNum_03': 400, 'leaking_rate_03': 0.0897744245281359, 'nodeNum_04': 150, 'leaking_rate_04': 0.6064849137909127, 'tikhonov_beta': 3.870537294212062e-08, 'intensity': 3.7110082026296083}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:28:58,612] Trial 124 finished with value: 0.2268369141795892 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.00475709196704688, 'nodeNum_02': 150, 'leaking_rate_02': 0.21108805085509047, 'nodeNum_03': 450, 'leaking_rate_03': 0.06847063243269372, 'nodeNum_04': 200, 'leaking_rate_04': 0.10078186759969858, 'tikhonov_beta': 1.5397005843734055e-07, 'intensity': 3.53499524704882}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:34:25,856] Trial 144 finished with value: 0.2166597633155733 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.007912132997320253, 'nodeNum_02': 250, 'leaking_rate_02': 0.03691645013347103, 'nodeNum_03': 400, 'leaking_rate_03': 0.012084419194259595, 'nodeNum_04': 200, 'leaking_rate_04': 0.1965020293514114, 'tikhonov_beta': 6.37402442633757e-08, 'intensity': 4.447697157026326}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:39:48,983] Trial 164 finished with value: 0.22512636483229553 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.010204250030256134, 'nodeNum_02': 200, 'leaking_rate_02': 0.15927265641024002, 'nodeNum_03': 500, 'leaking_rate_03': 0.011566723008165303, 'nodeNum_04': 250, 'leaking_rate_04': 0.22085907207537167, 'tikhonov_beta': 6.074500455565686e-08, 'intensity': 2.976811415057157}. Best is trial 151 with value: 0.21394422899201615.
[I 2024-11-07 19:45:16,766] Trial 183 finished with value: 0.2176256029498248 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.004174619952878333, 'nodeNum_02': 200, 'leaking_rate_02': 0.0726980183183969, 'nodeNum_03': 400, 'leaking_rate_03': 0.027500648848933825, 'nodeNum_04': 150, 'leaking_rate_04': 0.11790091867514324, 'tikhonov_beta': 9.69839981405273e-08, 'intensity': 3.8894380179718513}. Best is trial 172 with value: 0.21026677483052886.
[I 2024-11-07 19:51:06,526] Trial 203 finished with value: 0.2172154272786113 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.012582400344787506, 'nodeNum_02': 250, 'leaking_rate_02': 0.03314279353799243, 'nodeNum_03': 550, 'leaking_rate_03': 0.027356938362463702, 'nodeNum_04': 350, 'leaking_rate_04': 0.16006799715646292, 'tikhonov_beta': 5.296504497275615e-08, 'intensity': 3.6757739364022743}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 19:56:57,633] Trial 224 finished with value: 0.23810838300151538 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.006306085038388458, 'nodeNum_02': 300, 'leaking_rate_02': 0.06005121062465923, 'nodeNum_03': 550, 'leaking_rate_03': 0.04163362072830092, 'nodeNum_04': 350, 'leaking_rate_04': 0.001513822546897993, 'tikhonov_beta': 7.565106126434346e-08, 'intensity': 4.0156818638682585}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:02:23,703] Trial 244 finished with value: 0.22651273448872813 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.0218227234210335, 'nodeNum_02': 250, 'leaking_rate_02': 0.007660854773210112, 'nodeNum_03': 550, 'leaking_rate_03': 0.01789762420641227, 'nodeNum_04': 350, 'leaking_rate_04': 0.25333936057683776, 'tikhonov_beta': 6.907624983406455e-08, 'intensity': 4.763712451827273}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:07:50,653] Trial 264 finished with value: 0.5209707790227731 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.00889256053149582, 'nodeNum_02': 250, 'leaking_rate_02': 0.11533328645228219, 'nodeNum_03': 550, 'leaking_rate_03': 0.03177340895717189, 'nodeNum_04': 300, 'leaking_rate_04': 0.20443764927641908, 'tikhonov_beta': 2.1042903119339055e-08, 'intensity': 0.0287690099738942}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:13:18,457] Trial 284 finished with value: 0.21406854720931737 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.035858539509085824, 'nodeNum_02': 250, 'leaking_rate_02': 0.07419972853003007, 'nodeNum_03': 600, 'leaking_rate_03': 0.024255116220090616, 'nodeNum_04': 350, 'leaking_rate_04': 0.20759676401543467, 'tikhonov_beta': 4.239148925781874e-08, 'intensity': 4.861706894062414}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:19:02,587] Trial 304 finished with value: 0.2179371328415961 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.010123540169721505, 'nodeNum_02': 350, 'leaking_rate_02': 0.13924533746950826, 'nodeNum_03': 600, 'leaking_rate_03': 0.029090170891769667, 'nodeNum_04': 400, 'leaking_rate_04': 0.20854609592539686, 'tikhonov_beta': 3.711899927410119e-08, 'intensity': 4.411232149270788}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:25:10,414] Trial 324 finished with value: 0.21260757538520658 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.05262431063094239, 'nodeNum_02': 350, 'leaking_rate_02': 0.15917562237251123, 'nodeNum_03': 600, 'leaking_rate_03': 0.01994016602388073, 'nodeNum_04': 450, 'leaking_rate_04': 0.37305010724542165, 'tikhonov_beta': 3.56997874856871e-08, 'intensity': 4.408196982260082}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:30:56,594] Trial 344 finished with value: 0.2188460527261051 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.009274567049010056, 'nodeNum_02': 400, 'leaking_rate_02': 0.17513232964553657, 'nodeNum_03': 600, 'leaking_rate_03': 0.016906912942129614, 'nodeNum_04': 450, 'leaking_rate_04': 0.0964665501592648, 'tikhonov_beta': 2.9731478410049907e-08, 'intensity': 4.672469755842188}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:36:58,785] Trial 364 finished with value: 0.46436080836099863 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.08493530062764097, 'nodeNum_02': 350, 'leaking_rate_02': 0.2588289054577738, 'nodeNum_03': 600, 'leaking_rate_03': 0.013984505968121062, 'nodeNum_04': 450, 'leaking_rate_04': 0.5615099313856983, 'tikhonov_beta': 2.5632039843110788e-08, 'intensity': 2.8499353586787923}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:42:50,918] Trial 384 finished with value: 0.22378908711204673 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.03090306174853256, 'nodeNum_02': 350, 'leaking_rate_02': 0.1026653777782249, 'nodeNum_03': 600, 'leaking_rate_03': 0.021124112341101932, 'nodeNum_04': 500, 'leaking_rate_04': 0.3437939859074678, 'tikhonov_beta': 3.862140243567598e-08, 'intensity': 0.5368157235100923}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:48:20,845] Trial 405 finished with value: 0.21608357759990682 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.03468191796375301, 'nodeNum_02': 300, 'leaking_rate_02': 0.12852189591369118, 'nodeNum_03': 600, 'leaking_rate_03': 0.024368205248930918, 'nodeNum_04': 250, 'leaking_rate_04': 0.3535604339012774, 'tikhonov_beta': 3.238751543557647e-08, 'intensity': 4.911004004973991}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 20:53:49,193] Trial 425 finished with value: 0.20999729459258454 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.04701796117584797, 'nodeNum_02': 350, 'leaking_rate_02': 0.15024205479630418, 'nodeNum_03': 600, 'leaking_rate_03': 0.016980131355043504, 'nodeNum_04': 250, 'leaking_rate_04': 0.23878418026122944, 'tikhonov_beta': 5.2437273951565104e-08, 'intensity': 4.633179878077297}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 20:59:25,302] Trial 444 finished with value: 0.20929922816452604 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.04933621923483321, 'nodeNum_02': 350, 'leaking_rate_02': 0.3010586273987926, 'nodeNum_03': 600, 'leaking_rate_03': 0.017548284103758017, 'nodeNum_04': 450, 'leaking_rate_04': 0.23024724736331473, 'tikhonov_beta': 5.281953327333443e-08, 'intensity': 4.7227188577516985}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:05:12,291] Trial 463 finished with value: 0.21033622344293615 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.05398776857001091, 'nodeNum_02': 350, 'leaking_rate_02': 0.3305547910635699, 'nodeNum_03': 600, 'leaking_rate_03': 0.016128154718366403, 'nodeNum_04': 450, 'leaking_rate_04': 0.2682872636543614, 'tikhonov_beta': 5.448970767708882e-08, 'intensity': 4.741827971119592}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:10:53,339] Trial 483 finished with value: 0.20998596527372942 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.10955155833938597, 'nodeNum_02': 450, 'leaking_rate_02': 0.3844514936538228, 'nodeNum_03': 600, 'leaking_rate_03': 0.012642613866801275, 'nodeNum_04': 450, 'leaking_rate_04': 0.28723089143892727, 'tikhonov_beta': 8.969586029822826e-08, 'intensity': 4.784666738184821}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:16:31,876] Trial 502 finished with value: 0.21656703137690617 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.07543446185786921, 'nodeNum_02': 450, 'leaking_rate_02': 0.5082162695755712, 'nodeNum_03': 600, 'leaking_rate_03': 0.011650814264344238, 'nodeNum_04': 450, 'leaking_rate_04': 0.22760753894554436, 'tikhonov_beta': 2.6552818006213125e-06, 'intensity': 4.842863983655994}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:22:24,462] Trial 521 finished with value: 0.21073973734415544 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.0550358985574041, 'nodeNum_02': 450, 'leaking_rate_02': 0.26132110969074707, 'nodeNum_03': 600, 'leaking_rate_03': 0.014262080967287519, 'nodeNum_04': 450, 'leaking_rate_04': 0.22500527542174417, 'tikhonov_beta': 7.070907398214213e-08, 'intensity': 4.968312492345009}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:28:06,984] Trial 542 finished with value: 0.2341731569262821 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.09390757194349822, 'nodeNum_02': 450, 'leaking_rate_02': 0.8573496708740543, 'nodeNum_03': 600, 'leaking_rate_03': 0.007538219847607932, 'nodeNum_04': 500, 'leaking_rate_04': 0.029698188845144326, 'tikhonov_beta': 1.2314820078166686e-07, 'intensity': 4.984657216839787}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:33:50,054] Trial 562 finished with value: 0.21048085662944635 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.07782739822638379, 'nodeNum_02': 450, 'leaking_rate_02': 0.6226839890118423, 'nodeNum_03': 600, 'leaking_rate_03': 0.012103974714857071, 'nodeNum_04': 500, 'leaking_rate_04': 0.2556938250967696, 'tikhonov_beta': 9.693219221676971e-08, 'intensity': 4.858536923018443}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:39:30,934] Trial 581 finished with value: 0.20845347791000435 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.0745249622192987, 'nodeNum_02': 450, 'leaking_rate_02': 0.45287198328384837, 'nodeNum_03': 600, 'leaking_rate_03': 0.013027860410428237, 'nodeNum_04': 400, 'leaking_rate_04': 0.2500910929967086, 'tikhonov_beta': 5.0404767130706364e-08, 'intensity': 4.835963530060634}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:45:11,715] Trial 601 finished with value: 0.2097250017957953 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.07182620680991944, 'nodeNum_02': 500, 'leaking_rate_02': 0.4869242820676278, 'nodeNum_03': 550, 'leaking_rate_03': 0.01078565161215643, 'nodeNum_04': 400, 'leaking_rate_04': 0.33965691161021483, 'tikhonov_beta': 7.879253489172264e-08, 'intensity': 4.9895025722234845}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:50:51,238] Trial 622 finished with value: 0.21340036289662032 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.10836650891210768, 'nodeNum_02': 450, 'leaking_rate_02': 0.5648504024436363, 'nodeNum_03': 600, 'leaking_rate_03': 0.013305704457005487, 'nodeNum_04': 400, 'leaking_rate_04': 0.22680953206674023, 'tikhonov_beta': 2.7825126955223244e-07, 'intensity': 4.918393015556907}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 21:56:51,663] Trial 642 finished with value: 0.2090516026043807 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.05937576879315221, 'nodeNum_02': 450, 'leaking_rate_02': 0.3643595430699305, 'nodeNum_03': 600, 'leaking_rate_03': 0.01582890851977931, 'nodeNum_04': 550, 'leaking_rate_04': 0.17761827880774966, 'tikhonov_beta': 6.06707154473039e-08, 'intensity': 4.716037552665837}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 22:02:44,960] Trial 662 finished with value: 2.6981789941554 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.08648274441795116, 'nodeNum_02': 450, 'leaking_rate_02': 0.3209947200996228, 'nodeNum_03': 600, 'leaking_rate_03': 0.016234717944965744, 'nodeNum_04': 550, 'leaking_rate_04': 0.1571358461260274, 'tikhonov_beta': 4.938140690956827e-08, 'intensity': 4.609193265073156}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 22:08:32,232] Trial 682 finished with value: 0.21081399193290473 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.06505357239895544, 'nodeNum_02': 450, 'leaking_rate_02': 0.43145773148388483, 'nodeNum_03': 600, 'leaking_rate_03': 0.013198717235684712, 'nodeNum_04': 600, 'leaking_rate_04': 0.14427513745204837, 'tikhonov_beta': 3.6503431504986135e-08, 'intensity': 4.586819061956231}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 22:14:22,145] Trial 701 finished with value: 0.21035881242308124 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.06506724047310246, 'nodeNum_02': 450, 'leaking_rate_02': 0.4007470567980271, 'nodeNum_03': 600, 'leaking_rate_03': 0.013026568649250123, 'nodeNum_04': 400, 'leaking_rate_04': 0.19396848490012938, 'tikhonov_beta': 8.253300281219895e-08, 'intensity': 4.480630431465301}. Best is trial 670 with value: 0.20543669310415288.
[I 2024-11-07 22:20:16,096] Trial 722 finished with value: 0.6095514963483911 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.12062404079979401, 'nodeNum_02': 450, 'leaking_rate_02': 0.5026514685365501, 'nodeNum_03': 600, 'leaking_rate_03': 0.009715898896207184, 'nodeNum_04': 400, 'leaking_rate_04': 0.19574689702447032, 'tikhonov_beta': 3.6950049019075787e-08, 'intensity': 4.779992676083985}. Best is trial 670 with value: 0.20543669310415288.
